Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,492984,Ian Manners,0,50,50
2,1012459,Kyle Oosthuizen,0,45,45
3,395972,Nigel Stock,2,40,42
4,950943,Harley Bicknell,0,35,35
5,648962,Paul Walsh2,0,30,30
6,214278,Mark Baker7,0,25,25
7,795214,James Smaggasgale,0,20,20
8,375113,Mark Sykes,0,15,15
9,293575,Mathew Addy,0,13,13
10,34483,Mike Riedner,0,10,10
11,532447,Paul N T Williams,0,8,8
12,435038,Jochen Siegert,0,6,6
13,562993,Kevin Smith21,0,4,4
14,548231,Mark Kent,0,2,2
15,98121,Jeffrey Kruger,0,1,1
16,792182,Neil Martin4,0,0,0
17,888953,Wesley Lewin,0,0,0
18,725757,Baz Meacham,0,0,0
