Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,1185490,Oliver Forsström2,2,50,52
2,1139680,Zara McGuinness,0,45,45
3,1110456,Mateusz Smolny,0,40,40
4,1090079,Stijn Weytens,0,35,35
5,435038,Jochen Siegert,0,30,30
6,869824,Samy Ariba,0,25,25
7,1077088,Robert Savage 3,0,20,20
8,710321,Seany Clark,0,15,15
9,425754,Kurt Vanhoenacker,0,13,13
10,1115893,Mat Gatter,0,10,10
11,645127,Elwyn Sykes ,0,8,8
12,1227536,Joshua Downing3,0,6,6
13,450627,Davide Favo,0,4,4
14,1221391,Fabian Koziołek,0,2,2
15,1136269,Jarosław Patałuch,0,1,1
16,1221492,Maciej Kisiel,0,0,0
17,712518,Steven De Greveleer,0,0,0
18,375113,Mark Sykes,0,0,0
19,541161,Jonathan berry2,0,0,0
20,996524,Gabriel Papaconstantinou,0,0,0
