Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Total
1,541161,Jonathan Berry,0,0,18,18
2,1095068,Adam Wilson-Weir,1,1,15,17
3,996524,Gabriel Papaconstantinou,0,0,13,13
4,645127,Elwyn Sykes,0,0,12,12
5,1090079,Stijn Weytens,0,0,11,11
6,1045145,Michael Evangeli,0,0,10,10
7,900935,Andy Chell,0,0,9,9
8,1077088,Robert Savage,0,0,8,8
9,724528,Danny Switzer,0,0,7,7
10,888953,Wesley Lewin,0,0,6,6
11,712518,Steven De Greveleer,0,0,5,5
12,1115893,Mat Gatter,0,0,4,4
13,450627,Davide Favo,0,0,0,0
14,208620,Martin Brinkworth,0,0,0,0
15,1117544,Charlie Jopson-Wood,0,0,0,0
16,820470,Gabriel Yilmaz,0,0,0,0
17,869824,Samy Ariba,0,0,0,0
18,527169,Andy Rooney,0,0,0,0
19,636532,Simon Hunt,0,0,0,0
20,375113,Mark Sykes,0,0,0,0
