Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,98121,Jeffrey Kruger,0,1,18,1,25,45
2,527169,Andy Rooney,1,0,11,0,21,33
3,565878,Daniel Fritz4,0,0,13,0,19,32
4,450627,Davide Favo,0,0,15,0,14,29
5,900935,Andy Chell,0,0,12,0,15,27
6,712518,Steven De Greveleer,0,0,10,0,17,27
7,645127,Elwyn Sykes,0,0,9,0,16,25
8,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
9,363804,Erik Sivertsen,0,0,0,0,0,0
10,1035295,Ruben Pinho,0,0,0,0,0,0
11,668882,Costa Chatzikonstantinou,0,0,0,0,0,0
12,562993,Kevin Smith21,0,0,0,0,0,0
