Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,98121,Jeffrey Kruger,1,1,18,1,25,46
2,645127,Elwyn Sykes,0,0,13,0,21,34
3,712518,Steven De Greveleer,0,0,15,0,17,32
4,900935,Andy Chell,0,0,11,0,19,30
5,450627,Davide Favo,0,0,12,0,16,28
6,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
7,363804,Erik Sivertsen,0,0,0,0,0,0
8,1035295,Ruben Pinho,0,0,0,0,0,0
9,565878,Daniel Fritz4,0,0,0,0,0,0
10,668882,Costa Chatzikonstantinou,0,0,0,0,0,0
11,527169,Andy Rooney,0,0,0,0,0,0
12,562993,Kevin Smith21,0,0,0,0,0,0
