Pos,ID,Name,Endurance-Endurance Fastest Lap,Endurance-Endurance Race,Total
1,406198,Keiran Smart,0,50,50
2,681489,Karel Pucalka,2,45,47
3,158246,Gavan Gardener,0,40,40
4,430559,Jesse Payne-Wilkins,0,35,35
5,876012,Ben Altria,0,30,30
6,370322,Myles Owens,0,25,25
7,181524,Alain McKane,0,20,20
8,492984,Ian Manners,0,0,0
9,720558,Edvin Forslund,0,0,0
10,356615,Ricardo Santos5,0,0,0
11,357198,Craig Jones7,0,0,0
12,1007157,Edwin Simpson,0,0,0
13,637216,Russell Fowler,0,0,0
14,238912,Rui R. Reis,0,0,0
