Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,1049767,Corey Price3,2,50,52
2,684107,Stephan Wessels,0,45,45
3,856565,Harry Langford,0,40,40
4,436196,Gareth Williams7,0,35,35
5,417499,Jamie Dorey,0,30,30
6,880131,Jack Pittas,0,25,25
7,640632,Mike Barber,0,20,20
8,717473,Shaun F Schutte,0,15,15
9,452031,Ben Benneyworth2,0,13,13
10,430559,Jesse Payne-Wilkins,0,10,10
11,807048,Benjamin Mccluskey,0,8,8
12,876012,Ben Altria,0,6,6
13,23406,Wayne Douglas,0,0,0
14,468794,Morgan Short,0,0,0
15,389317,Steven Bird2,0,0,0
16,416545,Martin Hobson,0,0,0
17,669636,Łukasz Sidor,0,0,0
18,1012459,Kyle Oosthuizen,0,0,0
19,361745,Jake Pitt,0,0,0
20,405916,Harry Gaylor,0,0,0
21,419128,Andy X Fox,0,0,0
22,158246,Gavan Gardener,0,0,0
