Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Total
1,669636,Łukasz Sidor,0,1,18,19
2,856565,Harry Langford,1,0,15,16
3,684107,Stephan Wessels,0,0,13,13
4,807048,Benjamin Mccluskey,0,0,12,12
5,880131,Jack Pittas,0,0,11,11
6,158246,Gavan Gardener,0,0,10,10
7,436196,Gareth Williams7,0,0,9,9
8,1049767,Corey Price3,0,0,8,8
9,876012,Ben Altria,0,0,7,7
10,640632,Mike Barber,0,0,6,6
11,361745,Jake Pitt,0,0,5,5
12,417499,Jamie Dorey,0,0,4,4
13,452031,Ben Benneyworth2,0,0,3,3
14,389317,Steven Bird2,0,0,2,2
15,419128,Andy X Fox,0,0,1,1
16,23406,Wayne Douglas,0,0,0,0
17,468794,Morgan Short,0,0,0,0
18,717473,Shaun F Schutte,0,0,0,0
19,416545,Martin Hobson,0,0,0,0
20,1012459,Kyle Oosthuizen,0,0,0,0
21,430559,Jesse Payne-Wilkins,0,0,0,0
22,405916,Harry Gaylor,0,0,0,0
