Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,807048,Benjamin Mccluskey,1,1,18,1,21,42
2,730048,Max Daleiden,0,0,15,0,25,40
3,764555,Hugo Silva10,0,0,12,0,16,28
4,717473,Shaun F Schutte,0,0,11,0,17,28
5,436196,Gareth Williams7,0,0,8,0,19,27
6,744833,Kerr Wharrie,0,0,13,0,0,13
7,417499,Jamie Dorey,0,0,10,0,0,10
8,397835,Filipe Salvino,0,0,9,0,0,9
9,929713,Toby Prosser,0,0,0,0,0,0
10,801520,Rui Soares3,0,0,0,0,0,0
11,684107,Stephan Wessels,0,0,0,0,0,0
12,505814,William Guthrie,0,0,0,0,0,0
13,144404,Igor Martinez,0,0,0,0,0,0
