Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,839172,Diogo L Sá,1,1,18,1,21,42
2,170412,Jorge Bentes,0,0,10,0,25,35
3,293812,Miguel Alpalhão,0,0,15,0,19,34
4,322197,Nathan Healy,0,0,13,0,17,30
5,532447,Paul N T Williams,0,0,11,0,16,27
6,547183,Dwayne Hoffman,0,0,12,0,15,27
7,888953,Wesley Lewin,0,0,9,0,0,9
8,69997,Ryan G Walker,0,0,0,0,0,0
9,795214,James Smaggasgale,0,0,0,0,0,0
10,214278,Mark Baker7,0,0,0,0,0,0
11,95699,Pedro Ramada,0,0,0,0,0,0
12,872230,Luca Munro,0,0,0,0,0,0
