Pos,ID,Name,Sprint Qualifying,Sprint Race Fastest Lap,Sprint Race,Feature Race Fastest Lap,Feature Race,Total
1,872230,Luca Munro,1,1,18,0,25,45
2,795214,James Smaggasgale,0,0,15,1,21,37
3,69997,Ryan G Walker,0,0,0,0,0,0
4,839172,Diogo L Sá,0,0,0,0,0,0
5,322197,Nathan Healy,0,0,0,0,0,0
6,532447,Paul N T Williams,0,0,0,0,0,0
7,888953,Wesley Lewin,0,0,0,0,0,0
8,170412,Jorge Bentes,0,0,0,0,0,0
9,547183,Dwayne Hoffman,0,0,0,0,0,0
10,214278,Mark Baker7,0,0,0,0,0,0
11,95699,Pedro Ramada,0,0,0,0,0,0
12,293812,Miguel Alpalhão,0,0,0,0,0,0
