Pos,ID,Name,Qualifying,Fastest Lap,Race,Laps Led,Positions Gained,Fastest Lap,Race,Laps Led,Positions Gained,Fastest Lap,Race,Laps Led,Positions Gained,Total
1,78460,Adam Delmont,5,0,32,0,0,0,32,0,0,0,32,0,0,155
2,69065,Wojciech Swirydowicz,0,0,36,0,0,0,36,0,0,0,36,0,0,147
3,511499,Mikey Doble,0,0,40,0,0,0,40,0,0,0,40,0,0,131
4,417499,Jamie Dorey,0,0,50,0,0,0,50,0,0,0,50,0,0,122
5,458422,Lee Horne,0,0,28,0,3,0,28,0,3,0,28,0,3,114
6,834265,Isaac Doble,0,5,34,0,0,5,34,0,0,5,34,0,0,107
7,836127,Joseph Doble,0,0,55,5,1,0,55,5,1,0,55,5,1,104
8,807048,Benjamin Mccluskey,0,0,26,0,1,0,26,0,1,0,26,0,1,99
9,714631,Reece Watt,0,0,45,0,0,0,45,0,0,0,45,0,0,95
10,380577,Jonathan Robberechts,0,0,24,0,0,0,24,0,0,0,24,0,0,95
11,245397,Adam McNally,0,0,22,0,0,0,22,0,0,0,22,0,0,78
12,493157,Patrick Falconer,0,0,30,0,0,0,30,0,0,0,30,0,0,76
13,238543,Loris Pascucci,0,0,16,0,0,0,16,0,0,0,16,0,0,62
14,158246,Gavan Gardener,0,0,20,0,0,0,20,0,0,0,20,0,0,62
15,703434,Andrew Pike2,0,0,18,0,0,0,18,0,0,0,18,0,0,52
16,23406,Wayne Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,44
