Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Total
1,98121,Jeffrey Kruger,1,0,18,19
2,181524,Alain McKane,0,1,15,16
3,293575,Mathew Addy,0,0,13,13
4,214278,Mark Baker7,0,0,12,12
5,492984,Ian Manners,0,0,11,11
6,395972,Nigel Stock,0,0,10,10
7,435674,Aaron Hobson,0,0,9,9
8,435038,Jochen Siegert,0,0,8,8
9,846950,Matthew Cheverton,0,0,7,7
10,286267,Phil McDougall,0,0,6,6
11,532447,Paul N T Williams,0,0,5,5
12,1069108,Jason Raaff,0,0,4,4
13,987044,Wesley Peels,0,0,0,0
14,953940,Alejandro Ulate Alfaro,0,0,0,0
15,875926,Jopie Seimons,0,0,0,0
16,1117870,George Stone6,0,0,0,0
17,1043171,Lewis Mason3,0,0,0,0
18,1059355,Chris R Mason,0,0,0,0
