Pos,ID,Name,Endurance-Endurance Race Fastest Lap,Endurance-Endurance Race,Total
1,286267,Phil McDougall,2,50,52
2,846950,Matthew Cheverton,0,45,45
3,98121,Jeffrey Kruger,0,40,40
4,293575,Mathew Addy,0,35,35
5,395972,Nigel Stock,0,30,30
6,875926,Jopie Seimons,0,25,25
7,1069108,Jason Raaff,0,20,20
8,532447,Paul N T Williams,0,15,15
9,181524,Alain McKane,0,13,13
10,987044,Wesley Peels,0,0,0
11,953940,Alejandro Ulate Alfaro,0,0,0
12,492984,Ian Manners,0,0,0
13,214278,Mark Baker7,0,0,0
14,1117870,George Stone6,0,0,0
15,1043171,Lewis Mason3,0,0,0
16,1059355,Chris R Mason,0,0,0
17,435038,Jochen Siegert,0,0,0
18,435674,Aaron Hobson,0,0,0
